LISTE DES ENTITÉS EXCLUES DES COMPTES D'ENSEMBLE (art. 434-1);;;;;;;
;;;;;;;
Entités exclues;Adresse;Motifs d'exclusion;;;;;
aucune;;;;;;;
 Suite aux démarches entreprises par le parti, présentées supra, il n’a pas été détecté d’entité à exclure des comptes d’ensemble.;;;;;;;
;;;;;;;
VARIATION DE PÉRIMÈTRE (art. 434-1);;;;;;;
;;;;;;;
Liste des entrées :;;;;;;;
;;;;;;;
Entités concernées;Adresse;Modification du pourcentage de détention;Modification du mode d'intégration;Incidence de ces variations sur les comptes;;;
;;;;Sur fonds propres;Sur le résultat d'ensemble;;
Pour une renaissance européenne Savoie;18 rue des Tilleuls 73000 Barberaz;n.a;Non applicable;Néant;Néant;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Liste des sorties :;;;;;;;
;;;;;;;
Entités concernées;Adresse;Modification du pourcentage de détention;Modification du mode d'intégration;Incidence de ces variations sur les comptes;;;
;;;;Sur fonds propres;Sur le résultat d'ensemble;;
Egalité ensemble;37 rue de Talleyrand, 51100 Reims;n.a;Intégration Globale;Néant;-         5 033,38 ;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Informations significatives concernant les modifications du périmètre  intervenues entre la date de clôture et la date de transmission des comptes d'ensemble à la CNCCFP (art. 434-1) :;;;;;;;
